Updated On,State,Total Individuals Vaccinated,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,Total Sputnik V Administered,AEFI,18-45 years (Age),45-60 years (Age),60+ years (Age),Total Doses Administered
16/01/2021,India,48276,3455,2957,48276,0,23757,24517,2,579,47697,,,,,,48276
17/01/2021,India,58604,8532,4954,58604,0,27348,31252,4,635,57969,,,,,,58604
18/01/2021,India,99449,13611,6583,99449,0,41361,58083,5,1299,98150,,,,,,99449
19/01/2021,India,195525,17855,7951,195525,0,81901,113613,11,3017,192508,,,,,,195525
20/01/2021,India,251280,25472,10504,251280,0,98111,153145,24,3946,247334,,,,,,251280
21/01/2021,India,365965,32226,12600,365965,0,132784,233143,38,5367,360598,,,,,,365965
22/01/2021,India,549381,36988,14115,549381,0,193899,355402,80,8128,541253,,,,,,549381
23/01/2021,India,759008,43076,15605,759008,0,267856,491049,103,11192,747816,,,,,,759008
24/01/2021,India,835058,49851,18111,835058,0,296283,538647,128,13156,821902,,,,,,835058
25/01/2021,India,1277104,55151,19682,1277104,0,444137,832766,201,18858,1258246,,,,,,1277104
26/01/2021,India,1293784,60821,21467,1293784,0,449119,844448,217,19604,1274180,,,,,,1293784
27/01/2021,India,1726490,69495,23737,1726490,0,586081,1140137,272,27377,1699113,,,,,,1726490
28/01/2021,India,2295491,78523,25610,2295491,0,771229,1523939,323,36921,2258570,,,,,,2295491
29/01/2021,India,2814803,83664,26219,2814803,0,939069,1875368,366,43604,2771199,,,,,,2814803
30/01/2021,India,3067736,87822,26643,3067736,0,1022380,2044950,406,48300,3019436,,,,,,3067736
31/01/2021,India,3127107,91593,27011,3127107,0,1061307,2065391,409,58890,3068217,,,,,,3127107
01/02/2021,India,3350265,97432,27751,3350265,0,1152344,2197431,490,69372,3280893,,,,,,3350265
02/02/2021,India,3527971,106461,29522,3527971,0,1218507,2308898,566,76794,3451177,,,,,,3527971
03/02/2021,India,3825835,116568,31167,3825835,0,1324273,2500887,675,86001,3739834,,,,,,3825835
04/02/2021,India,4314304,126714,32505,4314304,0,1504527,2809042,735,99015,4215289,,,,,,4314304
05/02/2021,India,4765924,137110,33947,4765924,0,1710466,3054631,827,133911,4632013,,,,,,4765924
06/02/2021,India,5111827,145121,34814,5111827,0,1896705,3214244,878,195504,4916323,,,,,,5111827
07/02/2021,India,5168099,153231,35778,5168099,0,1928947,3238273,879,206130,4961969,,,,,,5168099
08/02/2021,India,5615499,164116,36740,5615499,0,2211020,3403576,903,290785,5324714,,,,,,5615499
09/02/2021,India,6002474,175556,38131,6002474,0,2458329,3543208,937,363692,5638782,,,,,,6002474
10/02/2021,India,6462270,187224,39339,6462270,0,2785194,3676114,962,480760,5981510,,,,,,6462270
11/02/2021,India,6958553,197650,40332,6958553,0,3153649,3803908,996,609108,6349445,,,,,,6958553
12/02/2021,India,7423817,207633,40799,7423817,0,3504429,3918381,1007,740517,6683300,,,,,,7423817
13/02/2021,India,7687352,216559,41308,7687352,20859,3684053,4002279,1020,781304,6906048,,,,,,7708211
14/02/2021,India,7710367,223423,41606,7710367,21911,3699535,4009812,1020,786042,6924325,,,,,,7732278
15/02/2021,India,8111162,233527,42016,8111162,142489,3925723,4184377,1062,825093,7286069,,,,,,8253651
16/02/2021,India,8337600,245131,42859,8337600,239626,4044967,4291548,1085,841412,7496188,,,,,,8577226
17/02/2021,India,8704698,256706,43310,8704698,318541,4271486,4432078,1134,894555,7810143,,,,,,9023239
18/02/2021,India,8862491,268275,43734,8862491,475776,4509554,4351815,1122,962251,7900240,,,,,,9338267
19/02/2021,India,9523567,279055,44167,9523567,717941,4820055,4702310,1202,1003518,8520049,,,,,,10241508
20/02/2021,India,9734505,288334,44791,9734505,884608,4966750,4766532,1223,1033170,8701335,,,,,,10619113
21/02/2021,India,9757217,299726,45120,9757217,893795,4982068,4773924,1225,1037565,8719652,,,,,,10651012
22/02/2021,India,10069263,312382,45490,10069263,1174416,5226538,4841511,1214,1085940,8983323,,,,,,11243679
23/02/2021,India,10288293,325527,46054,10288293,1309475,5389434,4897627,1232,1120345,9167948,,,,,,11597768
24/02/2021,India,10517568,339617,46671,10517568,1525390,5558978,4957351,1239,1156820,9360748,,,,,,12042958
25/02/2021,India,10846192,352882,47068,10846192,1972882,5799474,5045426,1292,1204424,9641768,,,,,,12819074
26/02/2021,India,11141375,357440,47240,11141375,2419557,6008758,5131299,1318,1244235,9897140,,,,,,13560932
27/02/2021,India,11141426,357450,47242,11141426,2419557,6008785,5131323,1318,1244235,9897191,,,,,,13560983
28/02/2021,India,11141651,367595,48032,11141651,2419557,6008960,5131373,1318,1244273,9897378,,,,,,13561208
01/03/2021,India,11141651,401961,50243,11141651,2419557,6008960,5131373,1318,1244273,9897378,,,,,,13561208
02/03/2021,India,11886320,448977,51350,11886320,2647634,6462436,5422470,1414,1277711,10608609,,,,,,14533954
03/03/2021,India,12553326,533253,54700,12553326,2830557,6859318,5692550,1458,1307164,11246162,,,,,,15383883
04/03/2021,India,13393538,613748,57418,13393538,3142165,7346850,6045211,1477,1345443,12048095,,,,,,16535703
05/03/2021,India,14415912,714806,59064,14415912,3455761,7924084,6490255,1573,1386898,13029014,,,,,,17871673
06/03/2021,India,15438495,802800,60930,15438495,3732333,8488627,6948195,1673,1434272,14004223,,,,,,19170828
07/03/2021,India,15541529,862720,63187,15541529,3747137,8545982,6993867,1680,1440857,14100672,,,,,,19288666
08/03/2021,India,16976138,923939,64854,16976138,4062362,9298005,7676312,1821,1495593,15480545,,,,,,21038500
09/03/2021,India,18360243,3632230,22562,14003206,4357037,10044921,8313353,1967,1619279,16739804,,,,,,18360243
10/03/2021,India,19538547,3712590,22885,14872785,4665762,10707385,8829091,2069,1727948,17809439,,,,,,19538547
11/03/2021,India,19953987,2074307,13920,15204375,4749612,10937930,9013952,2103,1755220,18197567,,,,,,19953987
12/03/2021,India,21772159,5428928,34489,16612019,5160140,11974143,9795767,2247,1910640,19860313,,,,,,21772159
13/03/2021,India,23159604,4500722,27403,17698742,5460862,12747867,10409393,2342,2010101,21148292,,,,,,23159604
14/03/2021,India,23317750,935045,6063,17837716,5480034,12832126,10483269,2353,2017875,21298664,,,,,,23317750
15/03/2021,India,25618250,6451678,40180,19766466,5851784,14090723,11524956,2569,2183445,23433592,,,,,,25618250
16/03/2021,India,25709257,5366679,33886,25709257,6161488,13993527,11713149,2581,2557019,29313725,,14381,7822654,8321177,9549294,31870745
17/03/2021,India,30011328,5183313,31807,30011328,6484692,16266085,13742026,3217,2875235,33620784,,14662,7949980,9106642,12938115,36496020
18/03/2021,India,31952935,5880856,38208,31952935,6817469,17311577,14637915,3443,3111700,35658703,,14777,8086204,9587964,14261942,38770404
19/03/2021,India,34228371,6385874,41625,34228371,7080848,18492473,15732206,3692,3332178,37977040,,14896,8219288,10165734,15826268,41309219
20/03/2021,India,36568988,6470646,42178,36568988,7308880,19688923,16876137,3928,3617184,40260683,,15074,8358591,10766621,17426476,43877868
21/03/2021,India,37303458,1919521,13892,37303458,7341914,20053560,17245870,4028,3711319,40934052,,15121,8392363,10969933,17923778,44645372
22/03/2021,India,39612614,7458801,49877,39612614,7592019,21244939,18363361,4314,4025733,43178899,,15234,8514176,11542500,19538350,47204633
23/03/2021,India,42148875,6325666,42614,42148875,7824277,22532413,19611896,4566,4418254,45554897,,15414,8657263,12235178,21238556,49973152
24/03/2021,India,44250191,6309312,42607,44250191,7966046,23602891,20642500,4800,4755913,47460323,,15533,8770039,12809134,22652955,52216237
25/03/2021,India,46454700,6810937,46395,46454700,8134520,24744845,21704739,5116,5065307,49523912,,15692,8895838,13438961,24101658,54589220
26/03/2021,India,48749313,7290723,49904,48749313,8271851,25911744,22832194,5375,5363425,51657738,,15827,9030708,14142017,25558079,57021164
27/03/2021,India,50865316,6515557,44549,50865316,8370120,26976551,23883153,5612,5581810,53653625,,15942,9170702,14835024,26840911,59235436
28/03/2021,India,51179587,2724106,18876,51179587,8377533,27137004,24036939,5644,5600420,53956699,,15968,9191854,14951629,27017385,59557120
29/03/2021,India,51774289,3614098,24773,51774289,8408775,27427546,24341025,5718,5673246,54509817,,16014,9232163,15144058,27379282,60183064
30/03/2021,India,53429356,6935955,45244,53429356,8560886,28257441,25165987,5928,5820234,56170007,,16112,9335310,15669710,28405395,61990242
31/03/2021,India,55188803,7622285,48959,55188803,8746787,29151242,26031409,6152,5979191,57956398,,16261,9451326,16264001,29454352,63935590
01/04/2021,India,57443466,8582019,56390,57443466,8918256,30321468,27115615,6383,6164245,60197476,,16355,9557988,17615494,30250716,66361722
02/04/2021,India,60936753,7771995,50714,60936753,9154083,32126426,28803529,6798,6415647,63675188,,16677,9722696,19839695,31354874,70090836
03/04/2021,India,63743700,8028771,53749,63743700,9368419,33577406,30159173,7121,6619593,66492525,,16891,9872239,21613929,32237904,73112119
04/04/2021,India,66838504,6779834,43542,66838504,9567193,35165269,31665721,7514,6880699,69524997,,17036,9981005,23681718,33156019,76405697
05/04/2021,India,69620234,9947093,64960,69620234,9819655,36559511,33052869,7854,7162657,72277231,,17130,9988573,25457649,34154208,79439889
06/04/2021,India,72035640,9341151,61096,72035640,10029697,37772299,34255180,8161,7419434,74645902,,17216,9994341,27028827,34992622,82065337
07/04/2021,India,76671812,8870978,58826,76671812,10428815,40110598,36552499,8715,7832533,79268093,,17424,10005564,30065901,36580444,87100627
08/04/2021,India,80998099,9913258,65506,80998099,10883431,42273620,38715200,9279,8167587,83713942,,17628,10017087,32914036,38047027,91881530
09/04/2021,India,84296847,9969009,65714,84296847,11286572,43929844,40357259,9744,8425992,87157426,,17815,10050594,35088992,39137263,95583419
10/04/2021,India,87411872,8710763,58594,87411872,11657482,45508111,41893575,10186,8678151,90391202,,17965,10115743,37138666,40137437,99069354
11/04/2021,India,90111528,9729980,63648,90111528,11888873,46895781,43205152,10595,8865852,93134548,,18061,10150663,38924746,41016044,102000401
12/04/2021,India,93559587,10664088,71554,93559587,12410952,48669828,44878560,11199,9117558,96852980,,18211,10214478,41124841,42200133,105970539
13/04/2021,India,95823614,10046908,67834,95823614,12774675,49885738,45926378,11498,9279181,99319107,,18349,10261853,42580769,42960830,108598289
14/04/2021,India,98703696,10786962,69832,98703696,13209592,51361929,47329847,11920,9632303,102280984,,18419,10329252,44385712,43968484,111913288
15/04/2021,India,100853671,9771019,66284,100853671,13744355,52488916,48352489,12266,9850203,104747822,,18511,10393324,45715162,44724878,114598026
16/04/2021,India,102927296,9780485,66381,102927296,14378048,53575244,49339504,12548,10178643,107126700,,18664,10469609,46998499,45438828,117305344
17/04/2021,India,104950409,8521217,60057,104950409,15020960,54647827,50289664,12918,10555424,109415944,,18764,10546237,48281098,46102623,119971369
18/04/2021,India,105896430,8395934,58212,105896430,15310668,55151208,50732172,13050,10711610,110495487,,18788,10573998,48885888,46416081,121207098
19/04/2021,India,108178574,10632658,73506,108178574,16278588,56358692,51806475,13407,11106751,113350410,,18896,10717276,50242630,47198108,124457162
20/04/2021,India,110165234,10163007,71051,110165234,17263653,57420010,52731510,13714,11515707,115913179,,18976,10827001,51441470,47876178,127428887
21/04/2021,India,111673361,9537781,67123,111673361,17972744,58217380,53441979,14002,11799916,117846188,,19057,10889235,52371179,48391750,129646105
22/04/2021,India,113584269,10459336,73933,113584269,19170339,59214377,54355513,14379,12176768,120577839,,19130,10972801,53528676,49056017,132754608
23/04/2021,India,115461202,9772224,68575,115461202,20197122,60208977,55237448,14777,12507127,123151196,,19246,11075950,54681402,49673372,135658324
24/04/2021,India,117105343,8300170,59612,117105343,21080613,61078797,56011474,15072,12775153,125410802,,19338,11161742,55725179,50185235,138185956
25/04/2021,India,117795008,5844983,41927,117795008,21390165,61442119,56337692,15197,12866845,126318327,,19364,11194950,56163123,50403597,139185173
26/04/2021,India,119886252,9725885,68905,119886252,22638695,62534884,57335805,15563,13127022,129397924,,19459,11300300,57436912,51108802,142524947
27/04/2021,India,121263287,9192384,65370,121263287,23615946,63266613,57980903,15771,13362545,131516688,,19521,14453548,55220908,51567636,144879233
28/04/2021,India,122538179,8123540,57439,122538179,24515213,63938524,58583701,15954,13636237,133417155,,19657,14557937,55978822,51980128,147053392
29/04/2021,India,123811908,8593203,61628,123811908,25456864,64611787,59183960,16161,13926050,135342722,,19753,14666103,56743187,52384617,149268772
30/04/2021,India,125376952,8996730,64042,125376952,26621155,65445771,59914751,16430,14178643,137819464,,19828,14819208,57676548,52862810,151998107
01/05/2021,India,126328970,8022399,56966,126328970,27297355,65972485,60339903,16582,14369918,139256407,,19850,14999469,58198124,53112963,153626325
02/05/2021,India,126704151,5396932,38359,126704151,27507360,66183753,60503747,16651,14417017,139794494,,19868,15057167,58438144,53191783,154211511
03/05/2021,India,127696675,8814219,61196,127696675,28385461,66737774,60942039,16862,14654260,141427876,,19921,15352120,58901132,53426355,156082136
04/05/2021,India,128627919,8034995,55739,128627919,29122833,67265833,61344881,17205,14892657,142858095,,19982,15689305,59299040,53622284,157750752
05/05/2021,India,129730641,8424665,58108,129730641,30200597,67881167,61832097,17377,15127348,144803890,,20041,16036053,59800123,53877151,159931238
06/05/2021,India,131058890,8708024,60671,131058890,31544713,68616643,62424602,17645,15424914,147178689,,20079,16430428,60403154,54207909,162603603
07/05/2021,India,132294827,8244108,57623,132294827,32895173,69304346,62972623,17858,15761911,149428089,,20136,16856986,60927081,54493332,165190000
08/05/2021,India,133366482,8362691,58214,133366482,34127375,69899266,63449164,18052,16195122,151298735,,20212,17255291,61372739,54720932,167493857
09/05/2021,India,133854676,5437733,39614,133854676,34450192,70186220,63650307,18149,16321015,151983853,,20234,17539440,61510977,54786708,168304868
10/05/2021,India,135192013,8215415,58011,135192013,35906905,70948079,64225501,18433,16727082,154371836,,20288,18167977,61966293,55038117,171098918
11/05/2021,India,136557345,7848368,56288,136557345,37305298,71722365,64816275,18705,17081853,156780790,,20315,18768175,62460166,55307756,173862643
12/05/2021,India,137805245,7572978,54605,137805245,38240332,72431855,65354414,18976,17459811,158585766,,20352,19307387,62926016,55549219,176045577
13/05/2021,India,139087590,7238072,52103,139087590,39274256,73161834,65906538,19218,17840229,160521617,,20415,19863113,63401077,55799375,178361846
14/05/2021,India,139861462,5861579,42398,139861462,39784951,73607113,66234957,19392,18087664,161558739,,20432,20255885,63656217,55924598,179646413
15/05/2021,India,141132112,7183448,51190,141132112,40412424,74324379,66787921,19812,18535310,163009216,,20459,20902588,64076941,56126114,181544536
16/05/2021,India,141764335,4278089,27979,141764335,40486671,74693401,67050966,19968,18695475,163555521,,20473,21360117,64200432,56176752,182251006
17/05/2021,India,143090218,8089861,48246,143090218,40726986,75461311,67608590,20317,19077536,164739599,,20512,22103586,64615446,56342950,183817204
18/05/2021,India,144270200,7311249,42755,144270200,40921402,76142110,68107465,20625,19407170,165784285,,20586,22710882,65021417,56508521,185191602
19/05/2021,India,145333606,6683984,40289,145333606,41076994,76761977,68550747,20882,19669911,166740487,,20659,23325439,65340955,56636839,186410600
20/05/2021,India,146624652,7547217,44986,146624652,41262233,77512357,69091006,21289,19986188,167900451,,20755,24095416,65709875,56787668,187886885
21/05/2021,India,147893976,7425242,42679,147893976,41450129,78248902,69623495,21579,20301735,169042095,275,20821,24815544,66109139,56936352,189344105
22/05/2021,India,149302864,8649098,49046,149302864,41633995,79056922,70224054,21888,20590582,170345955,322,20858,25540064,66609184,57119494,190936859
23/05/2021,India,150180408,5338956,30180,150180408,41697052,79574984,70583303,22121,20680782,171196318,360,20870,26159678,66797754,57188219,191877460
24/05/2021,India,152439044,9601152,51161,152439044,41874876,80889623,71526736,22685,20932868,173380665,387,20918,27500303,67442972,57459394,194313920
25/05/2021,India,154384464,9133572,46265,154384464,42079031,82032580,72328742,23142,21222896,175240154,445,20981,28655080,68006383,57685358,196463495
26/05/2021,India,156189641,9309344,44319,156189641,42235974,83084097,73082037,23507,21440904,176983511,1200,21016,29673387,68568469,57908741,198425615
27/05/2021,India,159006359,10482875,44427,159006359,42431761,84683042,74299145,24172,21732409,179703057,2654,21057,31096243,69538125,58331056,201438120
28/05/2021,India,161951713,11340655,44877,161951713,42665859,86374510,75552353,24850,22143306,182470401,3865,21092,32704761,70491958,58711772,204617572
29/05/2021,India,164804095,11069278,43049,164804095,42992369,88027641,76750999,25455,22748715,185041368,6381,21143,34394210,71322705,59041286,207796464
30/05/2021,India,165823004,5941306,22980,165823004,43084719,88619604,77177776,25624,22948962,185950671,8090,21166,35054344,71584500,59137269,208907723
31/05/2021,India,168393525,10623839,42783,168393525,43384966,90095606,78271582,26337,23442881,188324712,10898,21260,36494965,72388059,59461062,211778491
01/06/2021,India,170640412,9930062,38044,170640412,43674110,91381749,79231870,26793,23905095,190396381,13046,21302,37657598,73158983,59772400,214314522
02/06/2021,India,172945950,10324274,38535,172945950,43912247,92705952,80212651,27347,24376613,192467399,14185,21412,38998815,73851872,60041595,216858197
03/06/2021,India,175677634,11534619,41239,175677634,44153937,94288015,81361633,27986,25012565,194803940,15066,21470,40649116,74618017,60353715,219831571
04/06/2021,India,179205337,13131165,46141,179205337,44436944,96289872,82885972,29493,25581498,198045267,15516,21518,42587253,75746331,60810517,223642281
05/06/2021,India,182451348,12775190,45548,182451348,44711155,98143570,84277549,30229,26213604,200932620,16279,21637,44490432,76694765,61200972,227162503
06/06/2021,India,183824958,7228531,24346,183824958,44799620,98907905,84886553,30500,26450908,202156935,16735,21706,45391190,77035519,61331191,228624578
07/06/2021,India,186933771,12625429,45459,186933771,45129717,100656406,86246094,31271,27031124,205014564,17800,21820,47233720,77930082,61699177,232063488
08/06/2021,India,189503126,11506400,41121,189503126,45449492,102100803,87370490,31833,27571289,207362449,18880,21899,48781429,78645889,62001788,234952618
09/06/2021,India,192669299,11932713,42274,192669299,45770830,103888483,88748112,32704,28196184,210223401,20544,21959,50952882,79344582,62293642,238440129
10/06/2021,India,195747476,12035310,42414,195747476,46099387,105607170,90106724,33582,28814428,213010415,22020,21991,53072899,80018155,62574015,241846863
11/06/2021,India,198977594,12044221,42704,198977594,46434361,107385721,91557487,34386,29426682,215962153,23120,22027,55307867,80715943,62867396,245411955
12/06/2021,India,202207183,12844959,42982,202207183,46825911,109174763,92997290,35130,29975845,219032482,24767,22075,57472406,81467278,63177391,249033094
13/06/2021,India,203705131,7549518,22768,203705131,46951231,109979462,93690273,35396,30185294,220445754,25314,22082,58561036,81756122,63296269,250656362
14/06/2021,India,207274441,14048206,46924,207274441,47378599,111868784,95369557,36100,30779165,223847280,26595,22118,60913444,82600503,63665384,254653040
15/06/2021,India,209816439,11834657,41484,209816439,47789089,113266182,96513504,36753,31248316,226329536,27676,22127,62448482,83290805,63979181,257605528
16/06/2021,India,212945352,14252163,44447,212945352,48173116,114978703,97929255,37394,31695663,229393676,29129,22155,64643068,83939373,64262201,261118468
17/06/2021,India,215944608,13293750,42886,215944608,48592637,116630688,99275854,38066,32252129,232253523,31593,22214,66811954,84514167,64514699,264537245
18/06/2021,India,218956863,12991192,42760,218956863,48994708,118293011,100624989,38863,32765846,235151645,34080,22257,68997968,85086167,64765494,267951571
16/01/2021,Andaman and Nicobar Islands,23,2,2,23,0,12,11,0,0,23,,,,,,23
17/01/2021,Andaman and Nicobar Islands,23,2,2,23,0,12,11,0,0,23,,,,,,23
18/01/2021,Andaman and Nicobar Islands,42,9,2,42,0,29,13,0,0,42,,,,,,42
19/01/2021,Andaman and Nicobar Islands,89,12,2,89,0,53,36,0,0,89,,,,,,89
20/01/2021,Andaman and Nicobar Islands,124,16,3,124,0,67,57,0,0,124,,,,,,124
21/01/2021,Andaman and Nicobar Islands,239,22,6,239,0,110,129,0,0,239,,,,,,239
22/01/2021,Andaman and Nicobar Islands,552,29,6,552,0,231,321,0,0,552,,,,,,552
23/01/2021,Andaman and Nicobar Islands,920,32,9,920,0,342,578,0,0,920,,,,,,920
24/01/2021,Andaman and Nicobar Islands,966,38,9,966,0,357,609,0,0,966,,,,,,966
25/01/2021,Andaman and Nicobar Islands,1519,43,10,1519,0,447,1072,0,0,1519,,,,,,1519
26/01/2021,Andaman and Nicobar Islands,1519,43,10,1519,0,447,1072,0,0,1519,,,,,,1519
27/01/2021,Andaman and Nicobar Islands,1519,43,10,1519,0,447,1072,0,0,1519,,,,,,1519
28/01/2021,Andaman and Nicobar Islands,1956,48,10,1956,0,563,1393,0,0,1956,,,,,,1956
29/01/2021,Andaman and Nicobar Islands,2024,50,10,2024,0,588,1436,0,0,2024,,,,,,2024
30/01/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,,2060
31/01/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,,2060
01/02/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,,2060
02/02/2021,Andaman and Nicobar Islands,2060,51,10,2060,0,591,1469,0,0,2060,,,,,,2060
03/02/2021,Andaman and Nicobar Islands,2107,56,12,2107,0,601,1506,0,0,2107,,,,,,2107
04/02/2021,Andaman and Nicobar Islands,2290,57,13,2290,0,659,1631,0,0,2290,,,,,,2290
05/02/2021,Andaman and Nicobar Islands,2514,63,13,2514,0,705,1809,0,0,2514,,,,,,2514
06/02/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,,2780
07/02/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,,2780
08/02/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,,2780
09/02/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,,2780
10/02/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,,2780
11/02/2021,Andaman and Nicobar Islands,2780,65,13,2780,0,745,2035,0,0,2780,,,,,,2780
12/02/2021,Andaman and Nicobar Islands,2852,74,14,2852,0,773,2079,0,0,2852,,,,,,2852
13/02/2021,Andaman and Nicobar Islands,3040,74,14,3040,0,938,2102,0,0,3040,,,,,,3040
14/02/2021,Andaman and Nicobar Islands,3040,78,14,3040,0,938,2102,0,0,3040,,,,,,3040
15/02/2021,Andaman and Nicobar Islands,3363,78,14,3363,104,1176,2187,0,0,3363,,,,,,3467
16/02/2021,Andaman and Nicobar Islands,3363,81,14,3363,104,1176,2187,0,0,3363,,,,,,3467
17/02/2021,Andaman and Nicobar Islands,3560,86,14,3560,104,1343,2217,0,0,3560,,,,,,3664
18/02/2021,Andaman and Nicobar Islands,3505,95,14,3505,341,1455,2050,0,0,3505,,,,,,3846
19/02/2021,Andaman and Nicobar Islands,4246,101,14,4246,652,1805,2441,0,0,4246,,,,,,4898
20/02/2021,Andaman and Nicobar Islands,4707,102,14,4707,946,2221,2486,0,0,4707,,,,,,5653
21/02/2021,Andaman and Nicobar Islands,4707,102,14,4707,946,2221,2486,0,0,4707,,,,,,5653
22/02/2021,Andaman and Nicobar Islands,5358,118,14,5358,1498,2773,2585,0,0,5358,,,,,,6856
23/02/2021,Andaman and Nicobar Islands,5436,122,14,5436,1622,2831,2605,0,0,5436,,,,,,7058
24/02/2021,Andaman and Nicobar Islands,5518,128,14,5518,1722,2896,2622,0,0,5518,,,,,,7240
25/02/2021,Andaman and Nicobar Islands,5867,134,15,5867,1896,3103,2764,0,0,5867,,,,,,7763
26/02/2021,Andaman and Nicobar Islands,6029,135,15,6029,1960,3205,2824,0,0,6029,,,,,,7989
27/02/2021,Andaman and Nicobar Islands,6029,135,15,6029,1960,3205,2824,0,0,6029,,,,,,7989
28/02/2021,Andaman and Nicobar Islands,6029,135,15,6029,1960,3205,2824,0,0,6029,,,,,,7989
01/03/2021,Andaman and Nicobar Islands,6029,149,15,6029,1960,3205,2824,0,0,6029,,,,,,7989
02/03/2021,Andaman and Nicobar Islands,6638,161,15,6638,2086,3630,3008,0,0,6638,,,,,,8724
03/03/2021,Andaman and Nicobar Islands,6749,172,16,6749,2088,3721,3028,0,0,6749,,,,,,8837
04/03/2021,Andaman and Nicobar Islands,7266,182,16,7266,2095,4133,3133,0,0,7266,,,,,,9361
05/03/2021,Andaman and Nicobar Islands,7799,198,16,7799,2098,4559,3240,0,0,7799,,,,,,9897
06/03/2021,Andaman and Nicobar Islands,8288,224,16,8288,2210,4915,3373,0,0,8288,,,,,,10498
07/03/2021,Andaman and Nicobar Islands,8848,227,16,8848,2253,5251,3597,0,0,8848,,,,,,11101
08/03/2021,Andaman and Nicobar Islands,9629,261,16,9629,2375,5872,3757,0,0,9629,,,,,,12004
09/03/2021,Andaman and Nicobar Islands,9932,500,5,7542,2390,6068,3864,0,0,9932,,,,,,9932
10/03/2021,Andaman and Nicobar Islands,10161,300,3,7735,2426,6211,3950,0,0,10161,,,,,,10161
11/03/2021,Andaman and Nicobar Islands,10704,700,7,8218,2486,6591,4113,0,0,10704,,,,,,10704
12/03/2021,Andaman and Nicobar Islands,11321,700,7,8735,2586,6977,4344,0,0,11321,,,,,,11321
13/03/2021,Andaman and Nicobar Islands,11638,200,2,8899,2739,7188,4450,0,0,11638,,,,,,11638
14/03/2021,Andaman and Nicobar Islands,11693,100,1,8926,2767,7218,4475,0,0,11693,,,,,,11693
15/03/2021,Andaman and Nicobar Islands,12045,500,5,9202,2843,7401,4644,0,0,12045,,,,,,12045
16/03/2021,Andaman and Nicobar Islands,11950,700,7,11950,2876,7391,4559,0,0,14826,,1,4663,6173,1111,14826
