Updated On,State,First Dose Administered,Second Dose Administered,Total Doses Administered
16/01/2021,Andaman and Nicobar Islands,225,0,225
16/01/2021,Andhra Pradesh,18412,0,18412
16/01/2021,Arunachal Pradesh,829,0,829
16/01/2021,Assam,3528,0,3528
16/01/2021,Bihar,18169,0,18169
16/01/2021,Chandigarh,265,0,265
16/01/2021,Chhattisgarh,5592,0,5592
16/01/2021,Dadra and Nagar Haveli and Daman and Diu,123,0,123
16/01/2021,Delhi,4319,0,4319
16/01/2021,Goa,426,0,426
16/01/2021,Gujarat,10787,0,10787
16/01/2021,Haryana,5589,0,5589
16/01/2021,Himachal Pradesh,1517,0,1517
16/01/2021,Jammu and Kashmir,2044,0,2044
16/01/2021,Jharkhand,3096,0,3096
16/01/2021,Karnataka,13594,0,13594
16/01/2021,Kerala,8062,0,8062
16/01/2021,Ladakh,79,0,79
16/01/2021,Lakshadweep,21,0,21
16/01/2021,Madhya Pradesh,9219,0,9219
16/01/2021,Maharashtra,18328,0,18328
16/01/2021,Manipur,585,0,585
16/01/2021,Meghalaya,509,0,509
16/01/2021,Mizoram,314,0,314
16/01/2021,Nagaland,561,0,561
16/01/2021,Odisha,13746,0,13746
16/01/2021,Puducherry,274,0,274
16/01/2021,Punjab,1319,0,1319
16/01/2021,Rajasthan,9279,0,9279
16/01/2021,Sikkim,120,0,120
16/01/2021,Tamil Nadu,2945,0,2945
16/01/2021,Telangana,3653,0,3653
16/01/2021,Tripura,355,0,355
16/01/2021,Uttar Pradesh,21291,0,21291
16/01/2021,Uttarakhand,2276,0,2276
16/01/2021,West Bengal,9730,0,9730
16/01/2021,Miscellaneous,0,0,0
16/01/2021,Total,191181,0,191181
18/01/2021,Andaman and Nicobar Islands,442,0,442
18/01/2021,Andhra Pradesh,46680,0,46680
18/01/2021,Arunachal Pradesh,2805,0,2805
18/01/2021,Assam,5542,0,5542
18/01/2021,Bihar,33389,0,33389
18/01/2021,Chandigarh,265,0,265
18/01/2021,Chhattisgarh,10872,0,10872
18/01/2021,Dadra and Nagar Haveli and Daman and Diu,123,0,123
18/01/2021,Delhi,7968,0,7968
18/01/2021,Goa,426,0,426
18/01/2021,Gujarat,10787,0,10787
18/01/2021,Haryana,17642,0,17642
18/01/2021,Himachal Pradesh,4817,0,4817
18/01/2021,Jammu and Kashmir,3375,0,3375
18/01/2021,Jharkhand,6059,0,6059
18/01/2021,Karnataka,66392,0,66392
18/01/2021,Kerala,15477,0,15477
18/01/2021,Ladakh,119,0,119
18/01/2021,Lakshadweep,201,0,201
18/01/2021,Madhya Pradesh,18174,0,18174
18/01/2021,Maharashtra,18582,0,18582
18/01/2021,Manipur,978,0,978
18/01/2021,Meghalaya,530,0,530
18/01/2021,Mizoram,554,0,554
18/01/2021,Nagaland,1436,0,1436
18/01/2021,Odisha,46506,0,46506
18/01/2021,Puducherry,554,0,554
18/01/2021,Punjab,3318,0,3318
18/01/2021,Rajasthan,23546,0,23546
18/01/2021,Sikkim,120,0,120
18/01/2021,Tamil Nadu,16462,0,16462
18/01/2021,Telangana,17408,0,17408
18/01/2021,Tripura,1736,0,1736
18/01/2021,Uttar Pradesh,22644,0,22644
18/01/2021,Uttarakhand,4237,0,4237
18/01/2021,West Bengal,29866,0,29866
18/01/2021,Miscellaneous,14017,0,14017
18/01/2021,Total,454049,0,454049
19/01/2021,Andaman and Nicobar Islands,644,0,644
19/01/2021,Andhra Pradesh,58495,0,58495
19/01/2021,Arunachal Pradesh,2805,0,2805
19/01/2021,Assam,7418,0,7418
19/01/2021,Bihar,42085,0,42085
19/01/2021,Chandigarh,469,0,469
19/01/2021,Chhattisgarh,10872,0,10872
19/01/2021,Dadra and Nagar Haveli and Daman and Diu,208,0,208
19/01/2021,Delhi,12441,0,12441
19/01/2021,Goa,426,0,426
19/01/2021,Gujarat,17581,0,17581
19/01/2021,Haryana,24944,0,24944
19/01/2021,Himachal Pradesh,5049,0,5049
19/01/2021,Jammu and Kashmir,4395,0,4395
19/01/2021,Jharkhand,8824,0,8824
19/01/2021,Karnataka,80686,0,80686
19/01/2021,Kerala,23855,0,23855
19/01/2021,Ladakh,119,0,119
19/01/2021,Lakshadweep,369,0,369
19/01/2021,Madhya Pradesh,18174,0,18174
19/01/2021,Maharashtra,30247,0,30247
19/01/2021,Manipur,111,0,111
19/01/2021,Meghalaya,1037,0,1037
19/01/2021,Mizoram,1091,0,1091
19/01/2021,Nagaland,2286,0,2286
19/01/2021,Odisha,55138,0,55138
19/01/2021,Puducherry,719,0,719
19/01/2021,Punjab,5567,0,5567
19/01/2021,Rajasthan,30761,0,30761
19/01/2021,Sikkim,350,0,350
19/01/2021,Tamil Nadu,25251,0,25251
19/01/2021,Telangana,69405,0,69405
19/01/2021,Tripura,3734,0,3734
19/01/2021,Uttar Pradesh,22644,0,22644
19/01/2021,Uttarakhand,6107,0,6107
19/01/2021,West Bengal,42093,0,42093
19/01/2021,Miscellaneous,14017,0,14017
19/01/2021,Total,630417,0,630417
20/01/2021,Andaman and Nicobar Islands,644,0,644
20/01/2021,Andhra Pradesh,91778,0,91778
20/01/2021,Arunachal Pradesh,3023,0,3023
20/01/2021,Assam,7585,0,7585
20/01/2021,Bihar,47433,0,47433
20/01/2021,Chandigarh,469,0,469
20/01/2021,Chhattisgarh,16255,0,16255
20/01/2021,Dadra and Nagar Haveli and Daman and Diu,219,0,219
20/01/2021,Delhi,12902,0,12902
20/01/2021,Goa,426,0,426
20/01/2021,Gujarat,21832,0,21832
20/01/2021,Haryana,30402,0,30402
20/01/2021,Himachal Pradesh,5094,0,5094
20/01/2021,Jammu and Kashmir,4414,0,4414
20/01/2021,Jharkhand,11641,0,11641
20/01/2021,Karnataka,121466,0,121466
20/01/2021,Kerala,24269,0,24269
20/01/2021,Ladakh,240,0,240
20/01/2021,Lakshadweep,369,0,369
20/01/2021,Madhya Pradesh,27770,0,27770
20/01/2021,Maharashtra,52055,0,52055
20/01/2021,Manipur,1454,0,1454
20/01/2021,Meghalaya,1365,0,1365
20/01/2021,Mizoram,1508,0,1508
